"","from_name","message","link","id","likes_count","comments_count","shares_count","created_date","weekday","score","polarity","url"
"167","Estadão","Papa Francisco realiza casamento de casais que já moram juntos e têm filhos. 'As pessoas que se casaram no domingo são casais como muitos outros', disse Francisco. Veja mais em: via Internacional Estadão #Casamento","https://www.facebook.com/estadao/photos/pcb.1004982212850174/1004981229516939/?type=1&relevant_count=4","115987058416365_1004982212850174",31356,820,4141,2014-09-14,"Domingo",5866.2,2,"http://oesta.do/1wsTOlL "
"170","Estadão","Via Politica Estadão #eleições2014","http://oesta.do/1wkAy7l","115987058416365_1004920509523011",8376,4145,3280,2014-09-14,"Domingo",4049.1,NA,NA
"165","Estadão","Segundo cientistas, você pode ensinar o seu cérebro a não desejar esse lanche. Pesquisa mostra que o condicionamento da mente, para bem ou mal, começa na infância e pode ser reprogramado na vida adulta.Veja mais notícias sobre alimentação em: http://oesta.do/vidaestilo","http://vida-estilo.estadao.com.br/noticias/bem-estar,estudo-mostra-que-e-possivel-treinar-o-cerebro-para-desejar-comidas-saudaveis,1559346","115987058416365_1005026589512403",8689,1548,3766,2014-09-14,"Domingo",3592.9,3,NA
"171","Estadão","Atitude radical? Veja o vídeo: via Jornal do Carro #ciclovia","http://www.estadao.com.br/jornal-do-carro/noticias/mercado,prefeito-usa-tanque-em-carro-na-ciclovia,20992,0.htm","115987058416365_1004910689523993",9922,776,3074,2014-09-14,"Domingo",3069.4,1,"http://oesta.do/ZleM8H "
"163","Estadão","CRÔNICA: ‘Bem-vindo ao guia prático de como se tornar um presidente da República. Não dê muitas informações específicas. Diga-se preocupado com a saúde, com a educação e a segurança do país. Fale que acabará com a miséria e a pobreza, mas não diga como. Apenas pareça sério quando for falar isso.’ ","http://oesta.do/1qAierg","115987058416365_1005061862842209",5579,226,1809,2014-09-14,"Domingo",1711.1,2,NA
"150","Estadão","'Estão me colocando como inimigo dela e eu não sou. Já a perdoei, mas não a conheço e nem pretendo conhecê-la', disse o goleiro do #SantosFC (via Estadão Esportes) #Racismo","http://esportes.estadao.com.br/noticias/futebol,aranha-reitera-que-nao-deseja-conhecer-patricia-moreira,1560020","115987058416365_1005192106162518",5531,1572,304,2014-09-14,"Domingo",1207.1,2,NA
"160","Estadão","Leitor instala motor de 263 cv em ‘sedãzinho’ que ganhou de um tio em 1992 ao ingressar na faculdade. via Jornal do Carro #Chevette","http://www.estadao.com.br/jornal-do-carro/noticias/antigos,chevette-74-ganha-coracao-v6-da-blazer,20997,0.htm","115987058416365_1005100669504995",3830,408,750,2014-09-14,"Domingo",955.4,2,NA
"172","Estadão","O funcionário de ajuda humanitária David Haines, sequestrado em março, foi a 3ª vítima da organização. via Internacional Estadão #EstadoIslâmico","http://oesta.do/1s3EwNt","115987058416365_1004894719525590",2287,851,734,2014-09-14,"Domingo",924.4,1,NA
