"","from_name","message","link","id","likes_count","comments_count","shares_count","created_date","weekday","score","polarity","url"
"301","VEJA",NA,"http://abr.ai/1qUxVan","109597815616_10152513469690617",9148,1287,1850,2014-09-14,"Domingo",2410.9,NA,NA
"296","VEJA","Em VEJA desta semana","http://abr.ai/1oM16t3","109597815616_10152513859710617",5983,1014,1569,2014-09-14,"Domingo",1843.9,NA,NA
"292","VEJA",NA,"http://abr.ai/1sST9az","109597815616_10152514124850617",5017,752,1130,2014-09-14,"Domingo",1405.3,NA,NA
"298","VEJA",NA,"http://abr.ai/YxARkc","109597815616_10152513712640617",3974,1070,998,2014-09-14,"Domingo",1317.2,NA,NA
