"","from_name","message","link","id","likes_count","comments_count","shares_count","created_date","weekday","score","polarity","url"
"18","Portal R7","Não deu praia? Veja as piscinas mais belas do mundo! (Foto: Reprodução/ Izismile)","https://www.facebook.com/portalr7/photos/pcb.10152479456611638/10152479453871638/?type=1&relevant_count=3","142404191637_10152479456611638",19385,226,1726,2014-09-14,"Domingo",3041.9,3,"http://r7.com/ZwbP"
"20","Portal R7","Ana Hickmann conta como fez para perder os 30 kg que ganhou na gestação (Foto: Reprodução/Instagram)","https://www.facebook.com/portalr7/photos/a.463746656637.246885.142404191637/10152479509426638/?type=1&relevant_count=1","142404191637_10152479511751638",17362,692,181,2014-09-14,"Domingo",2052.4,0.5,"http://r7.com/VSd2"
"17","Portal R7","Adolescente é espancada brutalmente por ser bonita e perde dois dentes A agressora utilizou uma rede social para se defender das acusações(Foto: Reprodução/Rede Record)","https://www.facebook.com/portalr7/photos/a.463746656637.246885.142404191637/10152479459536638/?type=1&relevant_count=1","142404191637_10152479621131638",7481,1557,793,2014-09-14,"Domingo",1691,0.75,"http://r7.com/g1NT "
"25","Portal R7",NA,"https://www.facebook.com/portalr7/photos/a.463746656637.246885.142404191637/10152475835951638/?type=1&relevant_count=1","142404191637_10152479260096638",9809,91,1134,2014-09-14,"Domingo",1688.6,NA,NA
"29","Portal R7",NA,"https://www.facebook.com/portalr7/photos/a.463746656637.246885.142404191637/10152475833251638/?type=1&relevant_count=1","142404191637_10152478787411638",6182,73,1708,2014-09-14,"Sábado",1664.9,NA,NA
"16","Portal R7","Animais gigantes, selfies e os tombos mais esquisitos estão no Top 100 do Hora 7 (Foto:  Reprodução)","https://www.facebook.com/portalr7/photos/pcb.10152479474151638/10152479473621638/?type=1&relevant_count=3","142404191637_10152479474151638",8972,172,788,2014-09-14,"Domingo",1421.6,0.333333333333333,"http://r7.com/LV3M"
"32","Portal R7","Com strip tease ao som de funk, Urach estrela pior peça de teatro de todos os tempos (Foto: Reprodução)","https://www.facebook.com/portalr7/photos/a.463746656637.246885.142404191637/10152477968386638/?type=1&relevant_count=1","142404191637_10152478632336638",6882,1425,238,2014-09-14,"Sábado",1258.5,0.5,"http://r7.com/Ll9o"
"31","Portal R7","Cédulas de R$ 1 raras podem valer bem mais do que valor de face  (Foto: Reprodução)","https://www.facebook.com/portalr7/photos/a.463746656637.246885.142404191637/10152478031046638/?type=1&relevant_count=1","142404191637_10152478678466638",3585,593,716,2014-09-14,"Sábado",966,3,"http://r7.com/qPLd"
"28","Portal R7","Conheça a menor casa do mundo avaliada em R$ 1 milhão (Foto: Gadoo)","https://www.facebook.com/portalr7/photos/a.463746656637.246885.142404191637/10152477674156638/?type=1&relevant_count=1","142404191637_10152478873941638",6164,273,434,2014-09-14,"Domingo",958.7,2,"http://r7.com/xg3S"
