"","from_name","message","link","id","likes_count","comments_count","shares_count","created_date","weekday","score","polarity","url"
"47","Rede Globo","Vai vir uma batalha dura pela frente! Força, Xana Summer! #Império http://glo.bo/1qT7h3t","https://www.facebook.com/RedeGlobo/photos/a.190661634363558.41417.150312925065096/694642537298796/?type=1&relevant_count=1","150312925065096_694643087298741",40617,1017,433,2014-09-14,"Sábado",4626.6,1,NA
"46","Rede Globo","Vixi!! Parece que João Lucas chegou na hora errada! E agora?#Império http://glo.bo/1qSWeap","https://www.facebook.com/RedeGlobo/photos/a.190661634363558.41417.150312925065096/694621747300875/?type=1&relevant_count=1","150312925065096_694645863965130",36389,906,338,2014-09-14,"Sábado",4113.5,0.5,NA
"45","Rede Globo","Quem adora implicar com o irmão?! Será que eles não? Não perca o #AltasHoras! http://glo.bo/1pXqTxQ","https://www.facebook.com/RedeGlobo/photos/a.190661634363558.41417.150312925065096/694656697297380/?type=1&relevant_count=1","150312925065096_694656707297379",23956,411,315,2014-09-14,"Sábado",2707.9,0.5,NA
"39","Rede Globo","Os mutantes estão de volta nessa #TemperaturaMáxima para ‘X-Men: O Confronto Final’! http://glo.bo/1pXs9AZ","https://www.facebook.com/RedeGlobo/photos/a.190661634363558.41417.150312925065096/694916583938058/?type=1&relevant_count=1","150312925065096_694916590604724",11481,331,226,2014-09-14,"Domingo",1383,1,NA
