"","from_name","message","link","id","likes_count","comments_count","shares_count","created_date","weekday","score","polarity","url"
"419","Brasil 247","Verissimo explica por que não vota em Marina Para o escritor Luis Fernando Verissimo, Marina Silva, candidata do PSB, dificilmente chegará à presidência da República por ser muito contraditória; de qualquer forma, diz que não dará seu voto à candidata “mais revolucionaria destas eleições, que ao mesmo tempo é a mais conservadora”; ele condena suas posições contra a liberação do aborto e a pesquisa com células-tronco; afirma que a oposição à última questão, ‘que pode levar à cura de várias doenças hoje mortais é criminosa’; o escritor gaúcho afirma que irá votar ""com o coração"", ou seja, em defesa da saúde e contra Marina","https://www.facebook.com/Brasil247/photos/a.249276275125387.79639.167637636622585/822486244471051/?type=1&relevant_count=1","167637636622585_822490201137322",2357,375,2825,2014-09-14,"Domingo",2043.2,0.285714285714286,"http://brasil247.com/+ktnnl "
"403","Brasil 247","Bresser-Pereira explica por que votará em Dilma Fundador do PSDB e ex-ministro do governo FHC, o cientista político Luiz Carlos Bresser-Pereira anuncia seu voto na presidente Dilma Rousseff e aponta as razões; ""é ela quem melhor atende aos critérios que adoto para escolher o candidato"", diz ele; ""são dois esses critérios: quanto o candidato está comprometido com os interesses dos pobres, e quão capaz será ele e os partidos políticos que o apoiam de atender a esses interesses, promovendo o desenvolvimento econômico e a diminuição da desigualdade""; leia a íntegra","https://www.facebook.com/Brasil247/photos/a.249276275125387.79639.167637636622585/822803601105982/?type=1&relevant_count=1","167637636622585_822805384439137",1359,207,1438,2014-09-14,"Domingo",1060.8,1.25,"http://goo.gl/ENIAkr "
"405","Brasil 247","Aliados de Marina acusam Dilma de ser o anticristo Material de campanha distribuído no Rio de Janeiro pelos candidatos a deputado Ezequiel Teixeira e Édino Fonseca, aliados de Marina Silva, incita o ódio homofóbico e prega o extremismo religioso; numa revista digitalizada pelo deputado federal Jean Wyllys (Psol-RJ), a presidente Dilma Rousseff é chamada de ""anticristo""; ""Será que Marina, ou sua coordenação de campanha concordaram com essa sujeira e ""deixaram"" que ela fosse feita porque, na reta final, tudo o que servir para somar votos é bem-vindo, mesmo que provenha do esgoto político e da baixaria mais imperdoável?"", pergunta Jean Wyllys; não vale chorar, Marina","https://www.facebook.com/Brasil247/photos/a.249276275125387.79639.167637636622585/822768684442807/?type=1&relevant_count=1","167637636622585_822774651108877",666,378,908,2014-09-14,"Domingo",724.8,1.33333333333333,"http://goo.gl/HzF1wc "
"417","Brasil 247","Sentimentalismo de Marina sucede euforia eleitoral Candidata que atravessou a campanha, na condição de vice de Eduardo Campos, carrancuda e mal humorada, chegou às fronteiras da euforia e da soberba ao explodir nas pesquisas de opinião; agora, diante da redução de seus índices, vestiu a capa da fragilidade feminina e verteu lágrimas para reclamar do que chama de ""mentiras do PT""; em direção contrária, presidente Dilma Rousseff e ex-presidente Lula acentuam discurso  racional para mostrar contradições da adversária em temas como pré-sal, autonomia do Banco Central, liberdade sexual e, ainda, no fato de ter a herdeira do banco Itaú, Neca Setubal, como coordenadora de um programa dito popular; quem vai chorar menos em 5 de outubro?","https://www.facebook.com/Brasil247/photos/a.249276275125387.79639.167637636622585/822501847802824/?type=1&relevant_count=1","167637636622585_822516784467997",781,336,705,2014-09-14,"Domingo",601.9,0.833333333333333,"http://brasil247.com/+jcbmz "
"407","Brasil 247","Dilma: ""Não ataco. Divirjo. É da democracia"" Presidente mantém racionalidade frente ao sentimentalismo da ""outra face"" de adversária do PSB; ""Considero alto nível discutir proposta"", afirmou Dilma Rousseff, negando interpretações  de que estaria atacando Marina Silva; ""Uma eleição é onde se tem debate"", completou a presidente; no Palácio do Alvorada, neste domingo 14, ela anunciou a criação de 100 mil vagas no Fies; Presidente afirmou que ""não cabe à gente se vitimizar""; ""Enquanto o debate for político e não disser respeito à honra e a características pessoais de ninguém, que se dê o debate e falem de projetos, que é da democracia""","https://www.facebook.com/Brasil247/photos/a.249276275125387.79639.167637636622585/822742004445475/?type=1&relevant_count=1","167637636622585_822748361111506",997,177,674,2014-09-14,"Domingo",557.2,0.25,"http://goo.gl/TQrfUt "
