"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count","created_date","score","age","search_term","url"
"2753","120062008049190","Marina Cano Wildlife Photographer","August 12th was the Elephant World day. I was away from home, but in the meantime National Geographic published a Tribute to Elephants. Some of my pictures were there, and also some stunning images from fantastic photographers. Anyday is a good day to tribute to elephants.http://newswatch.nationalgeographic.com/2014/08/12/an-ode-to-elephants-worldelephantday/","2014-09-08T20:59:18+0000","link","http://newswatch.nationalgeographic.com/2014/08/12/an-ode-to-elephants-worldelephantday/","120062008049190_722880807767304",2393,47,337,2014-09-08,455.6,-6,"Marina",NA
"2427","135219713164573","Ricardo Coutinho","Ricardo convida todos os girassóis da Paraíba para acompanhar a chegada de Marina Silva a Campina Grande e, logo depois, a João Pessoa, e ouví-la falar das propostas para transformar o nosso país.- Campina Grande: Pirâmide do Parque do Povo, às 13h;- João Pessoa: Ao lado do Mercado Público de Mangabeira, às 16h.#40Neles #Ricardo40 #SouMarina40","2014-09-13T00:15:00+0000","video","https://www.facebook.com/video.php?v=848161481870389","135219713164573_848161481870389",1738,179,371,2014-09-13,450.1,-1,"Marina",NA
"3141","204590739576667","InfoMoney","Eleições 2014","2014-09-03T20:43:01+0000","link","http://www.infomoney.com.br/mercados/eleicoes/noticia/3556534/marina-silva-pode-vencer-eleicoes-turno-diz-nomura","204590739576667_724695900899479",1429,195,412,2014-09-03,448.6,-11,"Marina",NA
"3343","109597815616","VEJA","O Giro VEJA desta segunda-feira traz o panorama do final de semana na corrida eleitoral","2014-09-01T13:11:17+0000","link","http://abr.ai/1zZUaxH","109597815616_10152483579150617",1286,588,237,2014-09-01,447.2,-13,"Marina",NA
"2134","1387055648190022","Pimenta da Veiga","Aécio esteve, ontem, em Belo Horizonte. A visita coincidiu com a publicação da nova pesquisa DataFolha, que mostra nossa campanha crescendo com a força dos mineiros. A hora da virada está chegando.","2014-09-05T17:59:24+0000","video","https://www.facebook.com/video.php?v=1549405505288368","1387055648190022_1549405505288368",991,57,547,2014-09-05,444.4,-9,"Aécio",NA
"2536","115987058416365","Estadão","#eleições2014 (via Politica Estadão)","2014-09-12T01:45:01+0000","link","http://oesta.do/1lY8IwO","115987058416365_1003174573030938",1353,456,283,2014-09-12,441.9,-2,"Marina",NA
"1973","248620111909889","Pablo Villaça","http://mudamais.com/divulgue-verdade/quem-interessa-calar-internet-os-66-perseguidos-de-aecio","2014-09-07T23:02:25+0000","link","http://mudamais.com/divulgue-verdade/quem-interessa-calar-internet-os-66-perseguidos-de-aecio","248620111909889_563085000463397",1196,59,507,2014-09-07,441.5,-7,"Aécio",NA
"1958","421927677830371","O Cafezinho","Paulo Nogueira, no Diario do Centro do Mundo: ""Hoje, o PSDB simboliza um Brasil abjetamente iníquo. Os privilegiados estão todos a seu lado nestas eleições, e não por acaso.Caro candidato: nunca vi o senhor, ou algum outro líder tucano, se insurgir contra o mal maior do Brasil – a desigualdade.Nossos problemas com o senhor residem apenas no campo das ideias.Não fabricamos fatos, não inventamos coisas que o constranjam, porque não é este o tipo de jornalismo que praticamos.Mais que isso: não fazemos acusações levianas e irresponsáveis como as que o senhor fez contra nós.Se condenamos coisas como o aeroporto de Cláudio é porque entendemos que elas são a negação do “Brasil escandinavo” pelo qual tanto nos batemos.Não admiro sua postura com frequência, reconheço. No debate do SBT, quando um jornalista lhe perguntou sobre a visão de ética tucana depois de citar escândalos como o do Metrô de São Paulo e o Mensalão mineiro, o senhor disse que vivemos num estado de direito.Ninguém é culpado antes que se apurem os fatos, o senhor afirmou. Perfeito.Mas poucos dias depois, quando começou a circular uma lista de pessoas citadas por um ex-diretor da Petrobras, o senhor se apressou em fazer uma condenação ampla, geral e irrestrita.“É um novo Mensalão”, o senhor decretou. Estado de direito, portanto, é para o senhor e os seus amigos.Para os demais, o opróbrio imediato, a humilhação instantânea.Notemos também que o senhor prega a meritocracia ao mesmo tempo em que sua irmã ocupa um posto nobre no governo de Minas, pago pelo dinheiro do contribuinte.Vários relatos contam a dificuldade de fazer jornalismo independente em Minas.Isso ficou notavelmente claro para mim quando vi a sua notificação judicial contra nós.Jornalismo bom para o senhor, aparentemente, é o jornalismo que o aplaude.Fico pensando como seria complicado, para os jornalistas independentes, conviverem com o senhor na presidência.Felizmente, é uma hipótese de chance virtualmente equivalente a zero.""","2014-09-08T02:13:39+0000","link","http://www.diariodocentrodomundo.com.br/carta-aberta-a-aecio-neves/","421927677830371_787415521281583",661,29,607,2014-09-08,439,-6,"Aécio",NA
"2428","109597815616","VEJA","Informação do Radar On-line - Lauro Jardim","2014-09-13T00:00:01+0000","link","http://abr.ai/1m0V2kX","109597815616_10152509915025617",1359,548,231,2014-09-13,438.9,-1,"Marina",NA
"3299","115987058416365","Estadão","#eleições2014 (via Politica Estadão)","2014-09-02T01:20:01+0000","link","http://oesta.do/1tUMxZv","115987058416365_993684087313320",1892,405,213,2014-09-02,438.5,-12,"Marina",NA
