"","from_name","message","link","id","likes_count","comments_count","shares_count","created_date","weekday","score","polarity","url"
"130","Folha de S.Paulo","(via Folha Cotidiano)","http://uol.com/bmdT04","100114543363891_863132510395420",7175,330,2720,2014-09-14,"Domingo",2448.5,1,NA
"129","Folha de S.Paulo","Criança deve evitar eletrônicos até 12 anos de idade, afirma educador. http://uol.com/bxdVBN","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/863139620394709/?type=1&relevant_count=1","100114543363891_863169110391760",5044,484,1525,2014-09-14,"Domingo",1564.6,2,NA
"143","Folha de S.Paulo","Após incêndio em CTG, casamento gay é celebrado em fórum no interior do RS: (via Folha Cotidiano)","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/862891437086194/?type=1&relevant_count=1","100114543363891_862919533750051",7603,1678,490,2014-09-14,"Sábado",1557.7,1,"http://uol.com/bwdT5r "
"133","Folha de S.Paulo","(via Folha Poder)","http://uol.com/bldT90","100114543363891_863012820407389",5095,1372,1022,2014-09-14,"Domingo",1534.3,1,NA
"118","Folha de S.Paulo","Computador da Petrobras alterou verbete sobre delator na Wikipedia. Foi incluída a informação que a atuação política de Paulo Roberto Costa na estatal começou no governo FHC: (via Folha Poder)","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/863295600379111/?type=1&relevant_count=1","100114543363891_863308343711170",1727,677,1246,2014-09-14,"Domingo",1123.4,1,"http://uol.com/bhdVgJ "
"131","Folha de S.Paulo","Marina Silva tem comício esvaziado no Piauí após quatro horas de atraso: (via Folha Poder)","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/863134517061886/?type=1&relevant_count=1","100114543363891_863147073727297",3241,917,796,2014-09-14,"Domingo",1076.8,0.5,"http://uol.com/bgdVf3 "
"107","Folha de S.Paulo","Felicidade de recém-casados se esgota em dois anos, diz especialista: http://uol.com/bldVcy","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/863247590383912/?type=1&relevant_count=1","100114543363891_863433600365311",4625,654,676,2014-09-14,"Domingo",1064.3,1,NA
"122","Folha de S.Paulo","Veja entrevista do candidato à reeleição em São Paulo (via Revista sãopaulo)","http://uol.com/bqdTPC","100114543363891_863216603720344",2191,1356,693,2014-09-14,"Domingo",1041.7,2,NA
"111","Folha de S.Paulo","Refrigerantes perdem espaço no mercado brasileiro de bebidas. Eles sofrem com a concorrência de chás e sucos: (via Folha Mercado)","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/863209277054410/?type=1&relevant_count=1","100114543363891_863393053702699",5550,425,473,2014-09-14,"Domingo",966.3,0.5,"http://uol.com/btdT0R "
"137","Folha de S.Paulo","#maislidasdodia Lula diz que Marina cria inverdades e que ela não precisa chorar por ele. (via Folha Poder)","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/862951247080213/?type=1&relevant_count=1","100114543363891_863041290404542",1563,1729,327,2014-09-14,"Domingo",871.2,2,"http://uol.com/bgdVbV "
"144","Folha de S.Paulo","Em Belo Horizonte, Dilma Rousseff provoca público com crítica a Marina Silva: http://uol.com/bcdVh2","https://www.facebook.com/folhadesp/photos/a.115442961831049.6251.100114543363891/862890557086282/?type=1&relevant_count=1","100114543363891_862903647084973",1466,1625,292,2014-09-14,"Sábado",809.3,2,NA
"121","Folha de S.Paulo","Usuário gasta mais por hora com ""Candy Crush"" que com TV a cabo ou cinema, #apontaestudo do Deutsche Bank: http://uol.com/btdT0F","https://www.facebook.com/folhadesp/photos/pcb.863175910391080/863175623724442/?type=1&relevant_count=2","100114543363891_863175910391080",2110,494,380,2014-09-14,"Domingo",587.2,0.5,NA
